iter	RMSE
0	14.11571529
1	13.25290532
2	12.47381482
3	11.74599306
4	11.05040369
5	10.46533881
6	9.953366923
7	9.512957832
8	9.107366012
9	8.686441237
10	8.32618419
11	8.034966606
12	7.78293618
13	7.55937569
14	7.311796275
15	7.138598321
16	6.952464257
17	6.775791788
18	6.60601674
19	6.480356939
20	6.361106398
21	6.254920363
22	6.154400523
23	6.072766085
24	5.99861985
25	5.949485651
26	5.870670114
27	5.80889322
28	5.767222508
29	5.725243154
30	5.677715287
31	5.645676167
32	5.621060973
33	5.583761512
34	5.552167977
35	5.526165253
36	5.49902274
37	5.476753409
38	5.445669424
39	5.412491967
40	5.392445939
41	5.35645733
42	5.337648097
43	5.325409669
44	5.3084799
45	5.285103148
46	5.268769564
47	5.252001847
48	5.2277637
49	5.216861564
50	5.194660117
51	5.185668019
52	5.16769041
53	5.150670644
54	5.136908608
55	5.121682709
56	5.110204208
57	5.096624237
58	5.08202904
59	5.071130793
60	5.065139227
61	5.059499071
62	5.044332899
63	5.037623962
64	5.023638067
65	5.016456722
66	5.007723049
67	4.990250419
68	4.97932633
69	4.964007251
70	4.956136056
71	4.940834824
72	4.930861245
73	4.925031278
74	4.915144814
75	4.905511374
76	4.897493333
77	4.885106972
78	4.87389988
79	4.864858709
80	4.857510432
81	4.848877325
82	4.84057282
83	4.833565636
84	4.824602399
85	4.80849561
86	4.801284588
87	4.789402768
88	4.776759175
89	4.770905179
90	4.762231543
91	4.750104924
92	4.747337936
93	4.733724797
94	4.720996217
95	4.70376927
96	4.694224195
97	4.689382551
98	4.674664492
99	4.668168655
